ouid,foul,injury,redCards,yellowCards,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,possession,averageRating,matchResult,hour
3b1aa2e516723a6a6f0e93e917893255,3.0,0.0,0.0,0.0,74.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,81.0,73.0,59.0,56.0,1.0,0.0,20.0,17.0,11.0,8.0,12.0,1.0,43.0,4.32778,승,21
627daf496eafa4ed91b7dc81f3d8f236,0.0,0.0,0.0,0.0,93.0,3.0,0.0,6.0,6.0,3.0,0.0,0.0,129.0,120.0,98.0,96.0,5.0,1.0,21.0,18.0,9.0,4.0,4.0,0.0,57.0,3.9,패,21
c140b00e203ad2e508037151ec1036ef,1.0,0.0,0.0,0.0,100.0,5.0,0.0,11.0,9.0,2.0,0.0,0.0,152.0,144.0,112.0,110.0,11.0,6.0,26.0,25.0,8.0,4.0,9.0,0.0,63.0,4.6,승,21
ec47d5513ad3b0f5344e30510ae0388b,0.0,0.0,0.0,0.0,52.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,71.0,59.0,55.0,48.0,5.0,2.0,10.0,9.0,8.0,3.0,15.0,1.0,37.0,3.32778,패,21
1a17fa4d72c853530976a2070bb91d95,0.0,0.0,0.0,0.0,99.0,1.0,2.0,6.0,5.0,2.0,0.0,0.0,128.0,121.0,89.0,89.0,7.0,2.0,29.0,27.0,2.0,2.0,9.0,0.0,59.0,4.1,무,21
86e57ce652abffe2ee8bc0fce3be7e1b,0.0,0.0,0.0,0.0,58.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,85.0,74.0,69.0,62.0,1.0,0.0,15.0,12.0,3.0,1.0,10.0,1.0,41.0,3.86111,무,21
739eaf7bc390a25d2948810918c9fb58,0.0,0.0,0.0,0.0,76.0,3.0,0.0,14.0,11.0,3.0,0.0,0.0,96.0,83.0,56.0,53.0,8.0,3.0,30.0,27.0,7.0,4.0,10.0,0.0,50.0,4.62222,승,21
9f3939af0f892708e58666f573f3e672,1.0,0.0,0.0,0.0,59.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,86.0,70.0,47.0,40.0,5.0,1.0,31.0,27.0,20.0,11.0,12.0,1.0,50.0,3.5833300000000006,패,21
620ce84256a0bae2b05f3c991234f05a,1.0,0.0,0.0,0.0,49.0,2.0,0.0,10.0,10.0,5.0,0.0,0.0,90.0,73.0,36.0,32.0,9.0,5.0,44.0,36.0,11.0,5.0,15.0,2.0,42.0,4.64444,승,21
f33ae23cb03af0cece262a11c2ad6253,4.0,0.0,0.0,1.0,88.0,2.0,1.0,11.0,7.0,2.0,0.0,0.0,142.0,124.0,95.0,85.0,1.0,1.0,38.0,34.0,12.0,3.0,6.0,0.0,58.0,3.9888899999999996,패,21
